Brand,model,transmission,fuelType,year,mileage,tax,mpg,engineSize,paintQuality%,previousOwners,price
Ford, Kuga,Manual,Diesel,2017,13457.0,145.0,60.1,2.0,53.0,4,16995
Toyota, RAV4,Manual,Diesel,2017,61000.0,150.0,60.1,2.0,82.0,2,14450
Ford, C-MAX,Manual,Diesel,2017,18250.0,20.0,68.9,1.5,68.0,4,10498
Hyundai, I20,Manual,Petrol,2017,12814.0,145.0,58.9,1.2,73.0,,8691
Audi, RS6,Semi-Auto,Petrol,2017,39300.0,145.0,29.4,4.0,94.0,2,54490
Ford, GRAND C-MAX,Manual,Diesel,2014,35013.0,125.0,60.1,1.6,49.0,1,8498
Opel, Viva,Semi-Auto,Petrol,2018,5746.0,145.0,62.8,1.0,87.0,0,8000
Ford, Fiesta,Manual,Petrol,2018,6346.0,145.0,60.1,1.0,44.0,0,14157
Ford, Fiesta,Manual,Petrol,2017,18934.0,125.0,54.3,1.2,34.0,0,8291
VW, Golf,Semi-Auto,Petrol,2019,2543.0,145.0,32.8,2.0,44.0,3,29890
Toyota, Auris,Automatic,Hybrid,2016,28609.0,0.0,78.5,1.8,42.0,3,12500
Hyundai, I30,Automatic,Petrol,2007,51279.0,200.0,40.9,1.6,70.0,3,3299
VW, Polo,Manual,Petrol,2016,14064.0,20.0,60.1,1.2,50.0,0,10499
Opel, Astra,Manual,Diesel,2016,27411.0,20.0,72.4,1.6,32.0,4,9100
Hyundai, Tucson,,Diesel,2016,26000.0,125.0,58.9,2.0,35.0,3,15000
Toyota, Verso-S,Manual,Petrol,2013,33900.0,125.0,51.4,1.3,69.0,1,6995
VW, Polo,Automatic,Petrol,,6000.0,145.0,46.3,1.0,83.0,4,19490
Ford, Mustang,Semi-Auto,Petrol,2018,28915.0,145.0,,5.0,35.0,2,31991
Ford, Kuga,Semi-Auto,Diesel,2018,8970.0,145.0,,1.5,73.0,4,18999
Ford, Focus,Manual,Petrol,2019,8508.0,145.0,58.9,1.0,82.0,2,14450
Opel, Mokka X,Manual,Diesel,2017,34495.0,20.0,68.9,1.6,48.0,0,10221
Opel, Viva,Manual,Petrol,2018,4421.0,145.0,60.1,1.0,83.0,1,8200
Skoda, Superb,Semi-Auto,Diesel,2016,48558.0,30.0,,2.0,51.0,2,13990
Opel, Corsa,Automatic,Petrol,2014,,165.0,44.8,1.4,64.0,4,5250
BMW, X1,Semi-Auto,Petrol,2019,6744.0,150.0,39.2,2.0,3.140370457788869,0,26980
Ford, Focus,Manual,Diesel,2017,39193.0,145.0,67.3,2.0,82.0,4,14998
Hyundai, Tucson,Automatic,Diesel,2016,22764.0,240.0,43.5,2.0,93.0,3,16980
Audi, A6,Automatic,Diesel,2017,37973.0,145.0,,2.0,59.0,0,21450
Mercedes, B Class,Automatic,Diesel,2014,10200.0,20.0,68.9,1.5,76.0,2,11500
VW, Up,Manual,Petrol,2019,3000.0,145.0,54.3,1.0,47.0,4,9990
Mercedes, E CLASS,Automatic,Diesel,2015,71496.0,160.0,51.4,2.1,66.0,0,13499
VW, T-Roc,Automatic,Petrol,2019,5309.0,145.0,39.8,1.5,38.0,3,23490
Hyundai, Tucson,Manual,Petrol,2019,9841.0,145.0,34.9,1.6,60.0,1,15499
BMW, X1,Manual,Diesel,2018,12800.0,145.0,68.9,2.0,99.0,4,18502
Mercedes, C Class,,Diesel,2019,631.0,145.0,60.1,2.1,31.0,4,25495
Ford, Fiesta,Manual,Petrol,2019,13351.0,145.0,58.9,1.0,88.0,2,13498
VW, Polo,Manual,Petrol,2020,10.0,,52.3,1.0,87.0,4,16990
Mercedes, A Class,Manual,Petrol,2019,1001.0,145.0,47.1,1.3,40.0,4,25495
BMW, 5 Series,Automatic,Diesel,2016,69736.0,30.0,62.8,2.0,66.0,2,12400
Hyundai, Tucson,Manual,Petrol,2018,4411.0,145.0,34.9,1.6,78.0,3,15500
Mercedes, A Class,Semi-Auto,Diesel,2019,2560.0,145.0,65.7,1.5,76.0,2,22339
VW, Touran,Manual,Diesel,2014,13997.0,125.0,61.4,1.6,70.0,1,11395
Audi, A4,Automatic,Diesel,2018,95204.18167360188,145.0,70.6,2.0,34.0,0,17200
Ford, Mondeo,Automatic,Diesel,2012,28139.0,160.0,50.4,2.0,99.0,0,7499
Audi, Q3,Semi-Auto,Petrol,2017,9078.0,145.0,40.4,2.0,68.0,4,24995
Skoda, Yeti Outdoor,Manual,Diesel,2017,21803.0,,62.8,2.0,46.0,4,12789
Mercedes, GLS Class,Automatic,Diesel,2019,2010.0,145.0,34.0,3.0,52.0,0,67600
Ford, Fiesta,Manual,Petrol,2013,15974.0,,,1.0,94.0,0,6800
Ford, Focus,Semi-Auto,Petrol,2016,13500.0,165.0,44.8,1.6,56.0,2,10491
Audi, A6,Automatic,Diesel,2019,9534.0,145.0,50.4,3.7392354812099646,60.0,3,27750
VW, Golf SV,Semi-Auto,Diesel,2015,32280.0,125.0,65.7,2.0,36.0,0,11290
, Kona,Manual,Petrol,2019,3624.0,145.0,,1.0,77.0,0,17622
Ford, Focus,Automatic,Petrol,2013,45194.0,160.0,,1.6,95.0,0,6799
Opel, Mokka X,Manual,Petrol,2019,11347.0,145.0,39.2,1.4,44.0,1,12298
Ford, Grand C-MAX,Manual,Petrol,2016,59478.0,30.0,54.3,,31.0,3,9351
VW, Sharan,Semi-Auto,Diesel,2016,11110.0,145.0,54.3,2.0,50.0,3,20490
Mercedes, GLE Class,Semi-Auto,Diesel,2017,23632.0,,47.9,2.1,75.0,3,30199
Opel, Corsa,Manual,Petrol,2019,1375.0,,43.5,1.4,73.0,3,10490
Audi, A4,Manual,Petrol,2017,28801.0,125.0,49.6,2.0,39.0,2,16498
Hyundai, I20,Manual,Petrol,2018,18961.0,150.0,58.9,1.0,33.0,,9985
Audi, A4,Manual,Diesel,2016,41443.0,,67.3,2.0,72.0,0,16995
VW, Golf,Semi-Auto,Petrol,2018,21992.0,145.0,39.8,2.0,61.0,2,24989
BMW, 3 Series,Manual,Petrol,2007,,240.0,,2.0,35.0,1,2375
Toyota, Prius,Automatic,Hybrid,2016,31055.0,0.0,94.1,1.8,68.0,0,16890
Mercedes, GLC Class,Automatic,Diesel,2019,2500.0,145.0,40.9,2.0,33.0,0,41890
Opel, Corsa,Manual,Petrol,2019,372.0,145.0,43.5,1.4,59.0,0,10498
Skoda, Scala,Semi-Auto,Petrol,2020,1000.0,145.0,45.6,1.5,32.0,0,19995
Ford, Edge,Manual,Diesel,2017,48867.0,160.0,48.7,2.0,34.0,0,16250
Mercedes, C Class,Semi-Auto,Diesel,2015,46000.0,,64.2,2.1,75.0,0,14899
Ford, B-MAX,Semi-Auto,Petrol,2016,17900.0,160.0,44.1,1.6,83.0,2,9995
VW,Up,Manual,Petrol,2018,6000.0,150.0,54.3,1.0,80.0,0,7950
Audi, A1,Manual,Petrol,2019,1308.0,145.0,47.9,1.0,30.0,2,19490
Toyota, C-HR,Automatic,Petrol,2017,11772.0,145.0,47.9,1.2,59.0,0,17298
Ford, EcoSport,Manual,Petrol,2017,14372.0,145.0,53.3,1.0,90.0,0,11750
VW, Golf,Manual,Petrol,2019,8925.0,,47.1,1.5,44.0,2,17298
Audi, TT,Manual,Petrol,2016,21705.0,165.0,45.6,2.0,88.0,1,19472
Toyota, Yaris,,Petrol,2020,413.0,145.0,47.9,1.5,83.0,1,15885
Opel, Mokka X,Manual,Petrol,2019,10986.0,145.0,,1.4,43.0,1,14000
Ford, Fiesta,Manual,Petrol,2020,52.0,145.0,54.3,1.0,39.0,3,15750
Opel, Viv,Manual,Petrol,2017,19923.0,20.0,62.8,1.0,34.0,0,5520
Audi, A5,Manual,Diesel,2015,61713.0,20.0,64.2,2.0,33.0,0,10960
Ford, Focus,Manual,Petrol,2018,10306.0,145.0,58.9,1.0,42.0,0,14998
Opel, Astra,Manual,Diesel,2017,9179.0,145.0,72.4,1.6,75.0,4,10899
VW, Golf,Manual,Diesel,2015,46927.0,,68.9,1.6,95.0,1,8691
Toyota, Prius,Automatic,Hybrid,2016,49104.0,0.0,85.6,1.8,82.0,2,17291
VW, Polo,Manual,Petrol,2017,31547.0,145.0,65.7,1.0,96.0,2,10300
Toyota, Aygo,Manual,Petrol,2016,17006.0,0.0,69.0,1.0,52.0,3,7395
Opel, Astra,Manual,Diesel,,40239.0,0.0,78.5,1.6,70.0,1,7999
Mercedes, C Class,Automatic,Diesel,2015,78000.0,30.0,64.2,2.1,76.0,0,14490
BMW, 3 Series,Automatic,Diesel,2017,28000.0,205.0,49.6,3.0,43.0,4,24995
Opel,Crossland X,Manual,Petrol,2019,1868.0,145.0,44.8,1.2,53.0,3,13490
Mercedes, A Class,Manual,Diesel,2017,11373.0,145.0,65.7,2.1,,3,14999
Toyota, PROACE VERSO,Automatic,Diesel,2020,1000.0,145.0,38.7,2.0,75.0,1,37950
VW, passat,Manual,Diesel,2017,,145.0,68.9,2.0,88.0,4,13750
Mercedes, GLC Class,Automatic,Diesel,2015,37322.0,125.0,56.5,2.1,50.0,0,23472
VW, Up,Manual,Petrol,2016,12502.0,20.0,64.2,1.0,60.0,4,7990
VW, Tiguan,Automatic,Diesel,2019,8767.0,145.0,39.2,2.0,49.0,1,32220
Skoda, Octavia,Semi-Auto,Diesel,2016,33836.0,125.0,56.5,2.0,94.0,1,15750
Opel, Corsa,Manual,Petrol,2017,37601.0,30.0,55.4,1.4,55.0,1,6491
Ford, Focus,Manual,Petrol,2015,40523.0,20.0,61.4,1.0,92.0,2,7800
Ford, Fiesta,Manual,Petrol,2018,13106.0,150.0,55.4,1.1,64.0,0,10500
BMW, 1 Series,Semi-Auto,Petrol,2017,23157.0,145.0,54.3,1.5,35.0,2,15798
Mercedes, B Class,Manual,Diesel,2017,16941.0,145.0,68.9,1.5,82.0,0,13862
Ford, Fiesta,Manual,Petrol,2017,20518.0,125.0,54.3,1.2,33.0,0,8697
Audi, Q5,Semi-Auto,Hybrid,2019,3797.0,135.0,117.7,2.0,86.0,1,49400
Ford, Kuga,Manual,Diesel,2017,14621.0,145.0,,2.0,93.0,4,15000
Ford, Kuga,Manual,Petrol,2017,4825.0,150.0,45.6,1.5,64.0,2,17000
Ford,Fiesta,Automatic,Petrol,2010,55000.0,195.0,42.8,1.4,92.0,4,5995
Audi, Q3,Semi-Auto,Diesel,2016,42583.0,150.0,51.4,2.0,91.0,0,16990
Audi, RS6,Automatic,,2016,,,29.4,4.0,84.0,4,47490
Toyota, Auris,Manual,Petrol,2016,19252.0,30.0,58.9,1.2,38.0,4,10995
Mercedes, C Class,Semi-Auto,Diesel,2019,12794.0,,61.4,2.0,52.0,3,20980
Skoda, Fabia,Manual,Petrol,2016,21204.0,20.0,,1.2,76.0,4,8450
Opel, Zafira Tourer,Manual,Petrol,2017,17527.0,200.0,41.5,1.4,97.0,2,11000
VW, Golf,Manual,Petrol,2019,4133.0,,47.1,1.5,99.0,0,18991
Toyota, Yaris,Manual,Petrol,2019,3160.0,145.0,47.9,2.781776206784307,33.0,3,11850
VW, Tiguan Allspace,Semi-Auto,Diesel,2020,6000.0,,,2.0,42.0,4,36999
VW, Touareg,Automatic,Diesel,2018,8455.0,145.0,34.0,3.0,,4,38490
Ford, Fiesta,Manual,Petrol,2017,20346.0,125.0,54.3,1.2,69.0,3,7640
Toyota, Aygo,Manual,Petrol,2018,4515.0,145.0,56.5,1.0,46.0,0,8950
Opel, Corsa,Manual,Petrol,2014,8259.0,125.0,51.4,1.2,58.0,4,6995
BMW, X1,Manual,Petrol,2019,1272.0,,54.3,1.5,95.0,3,22500
Opel,Mokka,Manual,Petrol,2016,26066.0,165.0,44.8,1.4,82.0,0,9499
Audi, Q3,Semi-Auto,Petrol,2016,35496.0,150.0,47.9,1.4,97.0,1,18888
Toyota, Aygo,Manual,Petrol,2019,5000.0,145.0,,1.0,37.0,4,9295
BMW, 1 Series,Manual,Diesel,2019,7169.0,145.0,72.4,1.5,45.0,3,16450
Opel, Adam,Manual,Petrol,2016,29229.0,30.0,57.6,1.0,53.0,3,8495
Hyundai, IX20,Manual,Petrol,2016,15560.0,125.0,50.4,1.4,92.0,4,8250
VW, Tiguan,Manual,Diesel,2019,6621.0,150.0,47.9,2.0,66.0,0,21498
Opel, Astra,Automatic,Petrol,2016,39954.0,120.0,51.4,1.4,99.0,4,10100
Audi, Q3,Automatic,Petrol,2015,23787.0,205.0,40.4,2.0,77.0,0,19750
Hyundai, I30,Manual,Petrol,2019,1000.0,,34.0,2.0,32.0,2,26970
Mercedes, B Class,Semi-Auto,Diesel,2017,21306.0,145.0,68.9,2.1,70.0,3,15998
BMW, 4 Series,Automatic,Diesel,2016,68589.0,,65.7,2.0,47.0,0,13800
Opel, Adam,Manual,Petrol,2016,22241.0,30.0,57.6,1.0,97.0,2,8900
BMW, 3 Series,Manual,Petrol,2017,41732.0,145.0,48.7,2.0,92.0,4,12750
Audi, a4,Semi-Auto,Petrol,2019,,,39.2,2.0,58.0,1,25900
Audi, Q2,Automatic,Diesel,2019,6500.0,145.0,46.3,2.0,97.0,2,27000
Ford, Focus,Manual,Diesel,2007,78000.0,125.0,58.9,1.6,50.0,,2495
Opel, Mokka X,Manual,Petrol,2017,21000.0,145.0,47.1,1.4,93.0,4,11990
Mercedes, C Class,Semi-Auto,Petrol,2017,37293.0,145.0,49.6,2.0,97.0,3,19502
Opel, Mokka X,Manual,Petrol,2017,,145.0,47.1,1.4,60.0,1,10485
VW, Up,Manual,Petrol,2018,15367.0,145.0,64.2,1.0,85.0,3,9000
Ford, Fiesta,Manual,Petrol,2019,401.0,145.0,,1.0,82.0,2,15030
Ford, mondeo,Automatic,Petrol,2018,3570.0,145.0,,1.5,66.0,,17999
Ford, Focus,Manual,Diesel,2014,62125.0,20.0,67.3,1.6,83.0,3,7298
BMW, X4,Semi-Auto,Diesel,2019,3414.0,145.0,37.2,3.0,35.0,1,42412
VW, Touran,Manual,Diesel,2019,30.0,145.0,61.4,2.0,63.0,3,26298
Mercedes, A Class,Manual,Petrol,2020,2006.0,145.0,28.5,1.3,35.0,2,23900
Toyota, Yaris,Automatic,Hybrid,2018,16921.0,135.0,76.3,1.5,59.0,1,13252
Opel, Combo Life,Manual,Diesel,2019,10994.0,145.0,53.3,1.5,32.0,1,13498
BMW, 3 Series,Manual,Diesel,2018,38631.0,,62.8,2.0,58.0,3,15490
Ford, Fiesta,Manual,Petrol,2019,16420.0,145.0,60.1,1.0,54.0,3,12096
Mercedes, C Class,Automatic,Petrol,2019,10027.0,145.0,,3.0,71.0,2,42490
Audi, A1,Semi-Auto,Petrol,2017,26200.0,145.0,56.5,1.4,64.0,0,15000
Audi,,Semi-Auto,Petrol,2019,9151.0,145.0,34.0,2.0,50.0,4,39490
VW, Passat,Manual,Petrol,2019,5000.0,145.0,45.6,1.5,63.0,3,20999
Toyota, AYGO,Manual,Petrol,2017,31877.0,0.0,69.0,1.0,95.0,4,6450
BMW, X4,Automatic,Diesel,2016,44572.0,200.0,47.9,3.0,54.0,1,23995
Mercedes, A Class,Semi-Auto,Diesel,2018,4265.0,145.0,65.7,1.5,44.0,1,19491
Toyota, Aygo,Manual,Petrol,2016,26556.0,0.0,,1.0,98.0,1,6495
Hyundai, I30,Automatic,Diesel,2013,37438.0,160.0,51.4,1.6,53.0,0,7199
Mercedes, A Class,Semi-Auto,Diesel,2018,1502.0,,65.7,1.5,41.0,3,18699
Mercedes, SLK,Automatic,Petrol,2014,43955.0,205.0,43.5,1.8,76.0,1,15990
Ford,ka+,Manual,Petrol,2019,400.0,145.0,43.5,1.2,51.0,0,10995
Skoda, Octavia,Semi-Auto,Diesel,2016,32539.0,125.0,56.5,2.0,73.0,4,15750
VW,,Manual,Petrol,2018,17400.0,145.0,55.4,1.0,63.0,1,17300
Mercedes, C Class,Automatic,Petrol,2019,11664.0,145.0,47.1,1.5,65.0,3,25599
Ford, B-MAX,Semi-Auto,Petrol,2013,55920.0,165.0,44.1,1.6,34.0,1,5572
VW, Polo,Manual,Petrol,2016,22735.0,20.0,,1.2,63.0,1,10000
VW, Scirocco,Semi-Auto,Petrol,2017,18673.0,145.0,34.9,2.0,98.0,3,20550
Ford, Fiesta,Manual,Petrol,2018,15261.0,145.0,65.7,1.0,70.0,4,10797
Toyota, Yaris,Manual,Petrol,2018,20740.0,145.0,65.7,1.0,39.0,0,9595
Ford, Fiesta,Manual,Petrol,2019,6241.0,145.0,56.5,1.0,47.0,2,13500
Audi, Q3,Manual,Diesel,2013,61278.0,145.0,,2.0,58.0,1,11498
Opel, Corsa,Manual,Petrol,2017,26776.0,30.0,,1.4,63.0,2,7798
BMW, 2 Series,Semi-Auto,Diesel,2019,3550.0,145.0,64.2,2.0,69.0,3,24444
Ford, Fiesta,Manual,Petrol,2016,24300.0,145.0,47.9,1.6,61.0,1,11499
BMW, 4 Series,Semi-Auto,Diesel,2020,11.0,145.0,47.9,3.0,57.0,4,37450
Audi, A1,Manual,Diesel,2015,40011.0,0.0,80.7,1.6,88.0,4,8990
BMW, 3 Series,Manual,Diesel,2016,19401.0,30.0,67.3,2.0,94.0,2,13800
Opel, Corsa,Manual,Petrol,2014,44301.0,125.0,51.4,1.4,75.0,0,5099
Skoda, Octavia,Manual,Diesel,2017,46498.0,0.0,74.3,1.6,73.0,4,10175
VW, Tiguan,Semi-Auto,Diesel,2017,32950.0,145.0,49.6,2.0,34.0,2,19200
Toyota, RAV4,Automatic,Other,2017,4909.0,,43.5,2.0,51.0,0,20000
Toyota, Yaris,Manual,Petrol,2015,25132.0,,66.0,1.0,98.0,3,7392
Toyota, C-HR,Automatic,,2017,16990.0,135.0,74.3,1.8,37.0,1,20495
Mercedes, B Class,Automatic,Diesel,2019,3113.0,145.0,55.4,2.0,75.0,1,25444
Ford, Kuga,Manual,Diesel,2017,13240.0,150.0,60.1,2.0,35.0,1,15500
VW, Golf,Manual,Diesel,2014,73091.0,20.0,67.3,2.0,79.0,0,10995
Mercedes, B CLASS,Semi-Auto,Petrol,2019,10588.0,145.0,45.6,3.723712168624484,85.0,3,22699
Audi, A3,Manual,Diesel,2015,26200.0,20.0,68.9,2.0,95.0,4,11211
Hyundai, Tucson,Manual,Diesel,2016,36736.0,125.0,58.9,2.0,81.0,2,13450
Opel, Insignia,Manual,Diesel,2016,86980.0,20.0,68.9,1.6,65.0,4,7249
VW, polo,Manual,Petrol,2013,56105.0,125.0,51.4,1.2,74.0,,6000
VW, Polo,Manual,Petrol,2016,17399.0,20.0,58.9,,84.0,2,8798
Skoda, Fabia,Manual,Petrol,2018,9481.0,145.0,64.2,1.0,89.0,0,9790
Mercedes, E Class,Automatic,Diesel,2017,26233.0,20.0,72.4,2.0,89.0,4,19260
Ford, Focu,Manual,Diesel,2019,12027.0,,74.3,1.5,89.0,0,17998
Ford, KA,Manual,Petrol,2010,33563.0,30.0,55.4,1.2,90.0,2,3995
Mercedes, C Class,Automatic,Diesel,2019,2960.0,145.0,55.4,2.0,51.0,2,32540
Toyota, YARIS,Automatic,Hybrid,2017,23802.0,0.0,86.0,1.5,74.0,4,10995
Opel, Corsa,Manual,Petrol,2016,25000.0,30.0,55.4,1.4,34.0,1,6495
Skoda, Scala,Manual,Diesel,2019,1813.0,,,1.6,60.0,4,15495
, Q7,Semi-Auto,Diesel,2020,582.0,,33.2,3.0,58.0,3,56894
Opel, Insignia,Manual,Petrol,2017,15146.0,150.0,47.1,1.5,65.0,1,13941
Ford, Edge,Manual,Diesel,2016,48585.0,160.0,48.7,2.0,64.0,1,17500
Toyota, Yaris,Automatic,Hybrid,2017,24683.0,135.0,76.3,1.5,58.0,0,12795
Skoda, karoq,Automatic,Petrol,2018,20169.0,150.0,50.4,1.5,2.72515271650839,1,21495
Opel, Corsa,Manual,Petrol,,12329.0,145.0,43.5,1.4,98.0,2,9249
VW, Golf,Manual,Petrol,2019,50.0,145.0,47.1,1.5,32.0,1,20995
Hyundai, Ioniq,Automatic,Hybrid,2019,9468.0,135.0,,1.6,42.0,2,20000
BMW, 6 Series,Semi-Auto,Petrol,2016,19366.0,260.0,36.7,3.0,63.0,4,22798
Mercedes, E Class,Semi-Auto,Diesel,,17360.0,145.0,51.4,3.0,70.0,4,23462
VW, T-Cross,Manual,Petrol,2020,1478.0,145.0,47.9,1.0,66.0,2,22990
Ford, Fiesta,Manual,Petrol,2019,4293.0,,60.1,1.0,81.0,0,15500
Audi, A3,Manual,Diesel,2016,64278.0,30.0,65.7,2.0,64.0,1,12832
BMW, 1 Series,Manual,Diesel,2017,36274.0,145.0,70.6,1.5,86.0,4,12942
Ford, Fiesta,Manual,Petrol,2017,19130.0,,65.7,1.0,76.0,1,10498
Hyundai, I20,Manual,Petrol,2019,3011.0,145.0,46.3,1.2,78.0,1,11799
VW, Polo,Manual,Petrol,2017,26337.0,,60.1,1.2,86.0,4,9790
BMW,,Semi-Auto,Diesel,2018,10597.0,145.0,58.9,2.0,42.0,4,25490
Mercedes, C Class,Semi-Auto,Diesel,2017,12505.0,125.0,60.1,2.1,60.0,1,20495
Opel, Mokka,Manual,Diesel,2013,77127.0,125.0,57.6,1.7,87.0,2,6417
Mercedes, GLA Class,Semi-Auto,Petrol,2020,266.0,145.0,,1.6,94.0,1,26400
BMW, 1 Series,Manual,Diesel,2019,12266.0,150.0,65.7,2.0,99.0,0,17797
Skoda, Fabia,Manual,,2018,8200.0,145.0,57.7,1.0,55.0,0,9995
Opel, Corsa,Manual,Petrol,2018,14700.0,145.0,43.5,1.4,41.0,2,9658
Mercedes, C Class,Semi-Auto,Petrol,2019,6184.0,,45.6,1.5,37.0,0,25699
VW, Golf,Manual,Diesel,2017,18341.0,145.0,60.1,2.0,63.0,3,18599
Opel, Mokka,Manual,Diesel,2015,48244.0,,68.9,1.6,67.0,4,8150
Audi, A4,Manual,Petrol,2016,23212.0,125.0,53.3,1.4,59.0,1,13500
Mercedes, A Class,Manual,Diesel,2016,16984.0,30.0,62.8,2.1,70.0,2,16500
Mercedes, e class,Semi-Auto,Diesel,2019,11096.0,145.0,46.3,3.0,73.0,1,36995
Ford, Mondeo,Semi-Auto,Diesel,2016,47273.0,125.0,58.9,2.0,32.0,3,11500
Ford, focus,Manual,Petrol,2019,6889.0,145.0,60.1,1.0,65.0,3,15489
VW, Passat,Manual,Diesel,2012,63000.0,30.0,11.417267753816397,2.0,89.0,0,5990
Opel, Mokka X,Manual,Petrol,2019,12969.0,145.0,39.2,1.4,90.0,3,13000
, Fiesta,Manual,Petrol,2017,6732.0,150.0,64.2,1.1,64.0,2,9750
VW, Polo,Manual,Petrol,2016,31352.0,20.0,60.1,1.2,38.0,0,9290
VW, Golf,Semi-Auto,Diesel,2018,44352.0,145.0,57.7,2.0,40.0,0,18645
Audi, Q3,Automatic,Petrol,2017,27868.0,,47.9,1.4,83.0,2,20990
BMW, 3 Series,Automatic,Diesel,2015,61980.0,125.0,57.6,2.0,91.0,0,15500
Hyundai, tucson,Manual,Diesel,,20829.0,125.0,54.3,,39.0,2,18495
Skoda, Fabia,Manual,Petrol,2019,11125.0,145.0,57.7,1.0,38.0,1,9995
VW, Golf,Manual,Diesel,2015,39215.0,0.0,88.3,1.6,37.0,3,8995
Audi,A1,Semi-Auto,Petrol,2019,4150.0,150.0,47.9,1.0,30.0,1,19471
