RecordID,Competition,Edition,Athlete Id,Sex,Region,Education,Age group,Income,Disability,Previous attempts,Late enrollment,Athlete score,Mental preparation,Train bf competition,Strength training,Sand training,Recovery,Supplements,Cardiovascular training,Outdoor Workout,Squad training,Physiotherapy,Plyometric training,No coach,Sport-specific training,Other training,Past injuries,Outcome
22185,Local Match,2020.0,351034.0,M,Western Europe,High school,0-35,Middle-Low,False,1.0,False,0.0,False,994.0,2669.0,0.0,590.0,476.0,892.0,False,0.0,23.0,25.0,False,52.0,55.0,True,1
35901,Federation League,2022.0,525870.0,M,East Asia,Middle school,0-35,Middle,False,0.0,False,0.0,False,245.0,48.0,0.0,377.0,73.0,1.0,False,5.0,0.0,0.0,False,7.0,0.0,True,1
30469,Local Match,2019.0,543763.0,M,Central Asia,High school,0-35,Middle,False,0.0,False,0.0,True,136.0,222.0,7.0,119.0,111.0,513.0,False,0.0,3.0,0.0,False,4.0,0.0,True,1
20837,Regional Tournament,2019.0,576940.0,F,East Asia,High school,35-55,High,False,0.0,False,0.0,False,989.0,67.0,6.0,6108.0,43.0,101.0,False,1.0,0.0,0.0,False,26.0,0.0,False,1
50537,Federation League,2022.0,414963.0,F,Western Europe,High school,0-35,High,False,0.0,False,0.0,,536.0,391.0,10.0,273.0,161.0,12.0,False,3.0,0.0,0.0,False,71.0,0.0,True,1
69634,Regional Tournament,2019.0,522441.0,M,North America,High school,35-55,High,False,0.0,False,0.0,False,62.0,35.0,1.0,47.0,72.0,69.0,False,0.0,0.0,0.0,False,8.0,0.0,False,1
58244,Continental Championship,2019.0,589211.0,M,North America,High school,35-55,Middle-High,False,0.0,False,60.0,False,255.0,,0.0,99.0,7.0,204.0,False,0.0,391.0,0.0,False,19.0,4.0,True,1
24526,National Cup,2022.0,429015.0,M,Southern Africa,High school,0-35,Middle-Low,False,0.0,False,0.0,False,124.0,46.0,0.0,63.0,103.0,975.0,False,0.0,0.0,0.0,False,7.0,0.0,False,1
10082,Local Match,2022.0,517551.0,M,South Asia,High school,0-35,Middle-High,False,2.0,False,0.0,False,323.0,846.0,0.0,84.0,168.0,730.0,True,4.0,0.0,0.0,False,11.0,3.0,True,1
17255,,2021.0,138704.0,M,Middle East,High school,0-35,High,False,0.0,False,0.0,False,312.0,455.0,0.0,196.0,218.0,1.0,False,1.0,79.0,0.0,False,36.0,0.0,True,1
