ID,BD1,BD2,BD3,BD4,drug_probability
307,31.6,38.8,20,13.04,1.0
322,26.6,22.5,24,12.4,1.0
332,26.5,37.8,9,15.69,1.0
301,31.5,46.7,14,18.32,0.9714285714285714
315,22.2,44.9,22,13.87,0.9714285714285714
321,25.5,35.0,19,13.57,0.9714285714285714
308,27.1,48.9,15,15.76,0.9714285714285714
325,23.1,33.1,19,14.11,0.9714285714285714
336,28.8,35.6,26,18.05,0.9714285714285714
335,29.4,49.2,26,11.68,0.6
319,26.3,56.3,15,10.53,0.6
316,22.9,54.2,16,7.51,0.06060606060606061
302,23.4,55.8,5,8.07,0.06060606060606061
339,23.6,26.5,12,13.38,0.06060606060606061
334,22.2,34.3,9,13.2,0.06060606060606061
338,23.1,40.7,22,6.93,0.06060606060606061
327,14.8,46.9,18,12.16,0.05714285714285714
333,14.1,44.6,17,11.73,0.05714285714285714
329,13.6,45.2,18,11.96,0.05714285714285714
306,16.1,45.8,5,12.21,0.05714285714285714
317,19.2,48.1,16,11.8,0.05714285714285714
313,14.2,49.1,5,12.94,0.05714285714285714
309,16.3,58.2,15,11.82,0.05714285714285714
312,17.4,64.2,20,11.77,0.05714285714285714
305,29.6,46.0,23,7.97,0.0
304,16.3,55.6,14,7.69,0.0
303,19.6,32.1,17,10.86,0.0
318,20.5,47.9,14,10.11,0.0
311,18.2,54.8,6,10.57,0.0
310,16.6,51.7,12,8.56,0.0
314,21.6,42.1,9,9.18,0.0
320,18.3,47.5,21,8.99,0.0
324,14.7,58.2,6,5.79,0.0
323,29.1,55.0,14,8.07,0.0
326,18.3,53.4,20,8.81,0.0
328,14.5,49.8,7,9.62,0.0
331,17.7,55.4,6,10.82,0.0
330,19.6,49.3,18,6.9,0.0
337,13.5,53.7,10,9.41,0.0
340,15.3,45.5,14,10.73,0.0
